Latitude, Longitute, center count 
39.30392624,-76.66618071,2735
39.2587602,-76.54105447,6
39.26160013,-76.64304802,619
39.30031983,-76.62758287,4573
39.25021622,-76.64084472,926
39.1931516,-76.6608179,1
39.2656865,-76.69071651,38
39.3477807,-76.60747157,2095
39.26257041,-76.63449334,876
39.32504426,-76.67810923,1678
39.33987212,-76.60354452,572
39.28864255,-76.6144524,3591
39.36922039,-76.54527254,867
39.32714137,-76.59295544,1751
39.36955164,-76.59717421,683
39.214798,-76.5544759,3
39.35604083,-76.55874744,928
39.340425,-76.54766428,892
39.31663851,-76.59697673,3937
39.34019527,-76.59301963,507
39.28904285,-76.5567584,1561
39.25173735,-76.61627383,617
39.27619278,-76.54128326,1046
39.36847287,-76.67983126,298
39.29714249,-76.56551331,2408
39.300383,-76.61708528,3463
39.30034375,-76.63750102,5990
39.28757595,-76.58798265,2081
39.29522872,-76.58222955,4453
39.30190224,-76.58224905,4414
39.32627722,-76.6105325,2641
39.26907728,-76.54789504,100
39.25966186,-76.66254501,407
39.22621337,-76.59439632,670
39.25997139,-76.60928568,21
39.35130603,-76.68487512,1373
39.300755,-76.723748,1
39.36032477,-76.69759639,675
39.2808282,-76.53416638,1016
39.29795638,-76.59440717,5253
39.34406856,-76.5675423,675
39.235284,-76.686462,1
39.35131744,-76.54829345,782
39.36790412,-76.56322305,530
39.28254957,-76.55420062,584
39.36801969,-76.7042235,182
39.20455853,-76.56628411,142
39.29201121,-76.62082278,4984
39.35543744,-76.59118743,713
39.24838597,-76.53524392,6
39.2894279,-76.53581943,654
39.28241624,-76.61560224,1808
39.36005498,-76.707116,813
39.24081458,-76.5721503,6
39.24460379,-76.62536225,1087
39.20977136,-76.58514156,17
39.31035662,-76.63164849,5535
39.32305435,-76.57189149,2868
39.35352956,-76.66607802,1468
39.220344,-76.633454,1
39.22211993,-76.58808689,383
39.34827671,-76.67029994,1167
39.24245413,-76.60309344,1372
39.34492845,-76.68246617,3363
39.317773,-76.57422628,2770
39.34675738,-76.67623048,1985
39.34513776,-76.69005627,1271
39.31053712,-76.70030294,659
39.35131129,-76.69460699,1143
39.27647194,-76.63069186,4202
39.22652888,-76.58856884,1053
39.33158258,-76.6939457,854
39.36449176,-76.63440605,87
39.30354261,-76.54931889,870
39.33325009,-76.59964982,617
39.33560213,-76.67491234,1539
39.3627187,-76.70204266,300
39.33958581,-76.5718637,697
39.26536633,-76.61476956,173
39.24505,-76.673794,1
39.36201247,-76.66523757,184
39.32163379,-76.70399604,267
39.30077331,-76.65072955,4618
39.30925038,-76.64036514,4354
39.26196508,-76.66730369,511
39.29399712,-76.70375248,642
39.36593898,-76.60763809,583
39.37082822,-76.58709578,341
39.26635417,-76.58231879,17
39.34878163,-76.57337915,402
39.33682843,-76.55468925,2034
39.2319328,-76.6374631,4
39.33946385,-76.60991954,307
39.24957329,-76.62987016,745
39.3413542,-76.64162043,500
39.28377796,-76.64677895,5902
39.2917606,-76.64682559,4080
